perplex |  v. 使...困惑, 使...更复杂, 使...为难
section |  n. 零件,部分,章节,区域,部门,路段,断面 // vt. 划分,切开 // vi. 划分
compatible |  adj. 能共处的,可并立的,适合的, 兼容的 // n. 兼容
disastrous |  adj. 灾难性的
immediate |  adj. 立即的, 即刻的, 直接的, 最接近的
diamond |  n. 钻石,像钻石的物质,菱形,纸牌的方块,棒球内场 // vt. 用钻石装饰 // adj. 60或75周年纪念的
failure |  n. 失败,失败的人或事
trigger |  vt. 引发，引起；触发 // vi. 松开扳柄 // n. 扳机；[电子] 触发器；制滑机
return |  n. 返回,归还,报答,报告 // vt. &vi. 返回,归还,回来 // adj. 返回的
offensive |  adj. 令人不快的,侮辱的,攻击用的 // n. 进攻
taste |  n. 味道,品味,味觉,尝试 // vt. 尝到甜头, 尝试, 有...味道的 // vi. 品尝, 体验
luck |  n. 运气,幸运,吉祥之物 // v. 侥幸成功
mineral |  adj. 矿物的 // n. 矿物, 矿石
audit |  n. 查帐,审计 // vt. 审计,旁听
silver |  adj. 银色的,银的 // n. 银,银币,银器 // vt. 镀银,变成银白色
utmost |  adj. 极度的,最远的 // n. 极限,最大可能
growth |  n. 生长, 增长, 生长物
text |  n. 本文, 文件, 正文, 课文 // vt. &vi. 发短信
alter |  v. 改变
since |  adv. 后来 // conj. 既然,因为,自从 // prep. 自从
reinforce |  vt. 加强，加固；强化；补充 // vi. 求援；得到增援；给予更多的支持 // n. 加强；加固物；加固材料
example |  n. 榜样,例子 // vt. 把...作为例子
amateur |  adj. 业余(爱好者)的 // n. 业余爱好者,外行
bloom |  n. 花,钢块,兴旺 // vt. 使...开花 // vi. 开花,变得健康
sincere |  adj. 真诚的, 诚挚的
stem |  n. 茎,干,船首,词干,血统 // vt. 堵住,阻止,抽去梗 // vi. 起源于,发生
orange |  adj. 橙色的 // n. 橘子,橙黄色
ballet |  n. 芭蕾舞
blush |  n. 脸红,外观 // vi. 泛红,羞愧
bucket |  n. 水桶 // vt. 装在桶里 // vi. 急急忙忙
legacy |  n. 祖先传下来之物,遗赠物 // adj. [计算机]旧系统的
obligation |  n. 义务, 责任
successor |  n. 接班人,继任人
turnover |  n. 翻覆, 翻折, 半圆卷饼, 营业额, 成交量 // adj. 翻折的领子
post |  n. 邮件, 标竿, 职位 // vt. 邮递, 发布, 布置
curse |  vt.& vi.诅咒； 咒骂； 使苦恼，使困苦； 把（某人）逐出教门 // n.诅咒； 咒语； 祸害，祸因； 咒逐，逐出教门
entry |  n. 进入,入口,登记,项目
evil |  adj. 邪恶的, 坏的 // n. 邪恶, 罪恶
policeman |  n. 警察
Friday |  n. 星期五
consist |  n. 组成 // vi. 组成,存在,一致
barely |  adv. 少量地,几乎不地,勉强
thirsty |  adj. 口渴的, 渴望的
talent |  n. 才能, 人才, 天资
artist |  n. 艺术家, 美术家, 艺人
arithmetic |  n. 算术
garment |  n. 衣服 // vt. 给...披上衣服, 覆上...
seldom |  adv. 很少 // adj. 很少的
integrate |  v. 整合, 使...成整体
reflect |  v. 反映, 反射, 归咎
refine |  vt. 精炼,净化,使优雅 // vi. 被提纯,改进
chance |  n. 机会, 意外, 运气, 风险 // vi. 偶然发生 // vt. 偶然发生, 冒险
fragile |  adj. 易碎的,脆的,精细的
thorn |  n. 刺, 荆棘
spread |  n. 传布, 伸展 // adj. 扩延的 // v. 传布, 推广, 伸出
transplant |  vt. 移居, 移栽(植物), 移植(器官) // vi. 能经得住移植 // n. 移植, 被移植的事物
rabbit |  n. 兔子 // vi. 猎兔 // vt. 让...见鬼去吧,该死
shirt |  n. 衬衫
comparison |  n. 比较
September |  n. 九月
tie |  n. 结,束缚,不分胜负,(领)带 // vt. 系,约束,捆绑 // vi. 打结,连结
discuss |  vt. 讨论
intermittent |  adj. 间歇的,断断续续的
couch |  n. 长椅,睡椅,卧榻,兽血 // vt. 躺下,暗示 // vi. 躺下,埋伏
compulsory |  adj. 被强制的,强迫的,义务的
poverty |  n. 贫穷,贫困
Easter |  n. 复活节
hello |  int.（见面打招呼或打电话用语）喂,哈罗
reserve |  n. 预备品, 贮存, 候补 // n. 克制, 含蓄 // vt. 保留, 预订, 延期
lump |  n. 团, 块状,瘤,很多, 愚笨的人, 惩罚 // vt. 聚成团, 合并考虑, 同等对待或分类, 笨拙地移动, 结块, 忍受 // vi. 使成块状, 沉重地移动 // adj. 整体的, 全部的, 块状的
smuggle |  v. 偷运,走私,私运
baseball |  n. 棒球
factor |  n. 因素,因子 // vt. 把…因素包括进去 // vi.作为因素
removal |  n. 移动, 移居, 除去
overpass |  n. 天桥, 立交桥  // vt. 超越, 胜过, 忽略
sick |  adj. 恶心的, 有病的, 腻烦的, 晕的 // n. 病人, 呕吐物 // vt.追逐, 攻击; 唆使
surplus |  adj. 多余的,过剩的 // n. 过剩,剩余物,盈余,顺差
beat |  n. 打,敲打声,拍子,独家报道,一会儿 // vt. &vi. 打,打败
overnight |  n. 前晚 // adj. 通宵的, 晚上的, 前夜的 // adv. 在前一夜, 整夜, 昨晚一晚上
all |  adj. 所有的,全部的 // adv. 全部,非常,全然,所有 // pron. 全部,所有 // n. 全部
sore |  adj. 疼痛的,痛心的 // n. 痛处,疮口
news |  n. 新闻, 消息
dear |  adj. 严重的,珍贵的,亲爱的,昂贵的,衷心的 // adv. 高价地,热爱地 // n. 亲爱的人,可爱的人 // int. 啊,哎呀
military |  adj.军事的；军用的；讨厌的；好战的 // n.军人；军队；武装力量
mere |  adj. 纯粹的,仅仅的,只不过的 // adv. 仅仅,只不过 // n. 小湖
goal |  n. 目标，目的； 球门； 终点；
symmetry |  n. 对称(性), 匀称, 整齐
cure |  n. 治疗,治愈,治疗法 // vt. &vi. 治疗,治愈,改正
penny |  n. 便士,小钱,少量
distribute |  vt. &vi. 分配,散布
awful |  adj. 可怕的, 畏惧的, 充满敬畏的, 艰难的 // adv. 极其
situation |  n. 位置, 形势, 局面, 处境, 状况, 职位
out |  adj. 外面的,向外的,落伍的,不做考虑的 // adv. 向外,离岸,外出,出局,出去,用尽,完成,出现,结束 // vt. 释放出,结露 // vi. 揭发 // prep. 向外,通过 // n. 外面,在野者,下台者,出局的一击
various |  adj. 各种各样的
zoo |  n. 动物园
December |  n. 十二月
description |  n. 描写, 描述, 说明书, 作图 // n. 类型
rat |  n. 鼠,卑鄙的人,变节者 // vi. 背叛,捕鼠 // vt. 弄蓬松,告发
definite |  adj. 明确的,一定的
noble |  adj. 高尚的, 宏伟的, 贵族的, 高贵的 // n. 贵族
revolt |  n. 叛乱,反抗,反感 // vi. 叛乱,起反感 // vt. 使...恶心
adequate |  adj. 足够的, 充足的, 适当的, 能胜任的
danger |  n. 危险
what |  pron. 什么,...的事情,无论什么 // adv. 什么,怎么 // adj. 什么,任何
altitude |  n. 高度,海拔,高地
symbol |  n. 符号, 标志, 象征
spouse |  n. 配偶 // vt. 和...结婚
desert |  n. 沙漠,荒地,应得(的惩罚或奖励)adj. 沙漠的,荒凉的vt. 遗弃vi. 擅离职守
expensive |  adj. 昂贵的,豪华的
sticky |  adj. 粘的,闷热的,困难的,令人不满意的
organ |  n. 风琴,器官,机构,机关报刊
mechanic |  adj. 手工的 // n. 技工,机修工
famous |  adj. 著名的,一流的
we |  pron. 我们 // abbr. =Wednesday
trail |  n. 踪迹,小径,尾 // vi. 拖,尾随,追踪,落后于 // vt. 拖拽,追踪
dish |  n. 盘碟,菜肴,凹形 // vt. 装盘,提出,揭露,挖空 // vi. 闲谈
courage |  n. 勇气
exaggerate |  vt. &vi. 夸大,夸张
lick |  n. 舔,少许,打 // vt. 舔,连续击打,击败 // vi. 用舌头舔,拍打
dollar |  n. 美元
intuition |  n. 直觉, 直觉的知识
university |  n. 大学
malignant |  adj. 有恶意的,恶性的,有害的 // n. 怀恶意的人,保王党员
coarse |  adj. 粗糙的,非精制的,粗俗的
reap |  vt. 收割,收获,获得 // vi. 收割
breeze |  n. 微风,轻而易举的事 // vi. 飘然而行,轻松地得胜或进步
poster |  n. 海报,招贴,脚夫 // v. 贴海报于
organization |  n. 机构,组织 // adj. 有组织的
energetic |  adj. 精力旺盛的,有力的,能量的
fearful |  adj. 担心的, 可怕的
traitor |  n. 叛徒, 卖国贼，出卖朋友者
ignorance |  n. 无知
victim |  n. 受害者,牺牲
amplifier |  n. 放大器, 扩音机
galaxy |  n. 银河, 一群显赫之人
these |  adj.&pron. 这些
drive |  v. 开车, 驱使, 驾进力 // n. 驾车, 快车道, 推进力, 驱使, 路, 街
boy |  n. 男孩,儿子
clinic |  n. 诊所,门诊部,科室
join |  v. 参加, 结合, 联合, 加入
merchandise |  n. 商品,货物 // vt. &vi. 经营,推销, 销售, 经商
noun |  n. 名词
quart |  n. 夸脱（容量单位）
painting |  n. 水彩画,油画
thus |  adv. 如此,这样,因此,从而 // conj. 因此,于是
say |  vt. 说,讲,表达,假设,,指示 // vi. 说 // n. 发言权 // adv. 大约
valley |  n. 山谷；流域；溪谷
heroine |  adj. 英雄式的, 英勇的 // n. 女英雄, 女主角
politics |  n. 政治,政策,政治活动,政见
arrest |  n. 逮捕,监禁 // vt. 拘捕,妨碍,吸引
run |  n. 奔跑,路程,趋向 // vt. 跑,放牧,经营,走私,使运转,浇铸,使遭受 // vi. 跑,竞赛,行驶,运转,遭遇,持续,熔化,褪色,流,蔓延,传播 // adj. 熔化的,浇铸的,洄游的
jewelry |  n. 珠宝, 珠宝类
unusual |  adj. 不平常的, 异常的
banquet |  n. 宴会 // vi. 宴请 // vt. 宴会, 设宴
information |  n. 信息, 情报, 新闻, 资料, 询问
cousin |  n. 堂(或表)兄弟(姐妹)
cashier |  n. 出纳员,收银员 // vt. 解职,丢弃
nineteen |  十九
meditation |  n. 沉思,冥想
design |  vt.& vi.设计； 绘制 // vt.设计； 计划； 企图； 决意（做） // n.设计； 图案； 结构； 计划 // vi.设计略图； （为工艺品、装潢项目等）设计； 当设计师； 构思
earth |  n. 地球,泥土,世间,大地,地球人 // vt. 赶入洞中,提取土壤 // vi. 躲入洞穴
list |  n.清单，目录； 倾斜； 布边，布头； 狭条 // vt.列出，列入； 把…编列成表； 记入名单内 // vi.列于表上
transaction |  n. 交易,处理,办理
intention |  n. 意图,意向,目的
reduction |  n. 减少,缩小, (化学)还原反应, (数学)约分
certainty |  n. 确定, 确实的事情
comply |  vi. 顺从,答应
limited |  adj. 有限的
publish |  vt. 出版,发行,公开发表 // vi. 出版,发行
bruise |  n. 瘀青, 擦伤, 挫伤 // vi. 受伤,擦伤 // vt. 使挫伤
fitting |  adj. 适合的, 恰当的 // n. 试衣
our |  pron. 我们的
curl |  n. 卷曲, 卷发 // v. 弄卷, 卷曲, 弯曲
meeting |  n. 会议
war |  n. 战争 // vi. 作战
visible |  adj. 可见的, 看得见的
dozen |  n. (一)打,十二个 // adj. 一打的, 十二个的
honey |  adj. 蜂蜜似的,深爱的 // n. (复数)蜂蜜,宝贝,爱人 // vt. 加蜜使甜,对...说甜言蜜语 // vi. 说甜言蜜语,奉承
adhere |  vi. 坚守于, 对...忠贞, 紧抓着, 遵守 vt. 使附着, 使粘牢
region |  n. 地区,地域,地带,行政区
stage |  n. 阶段,舞台,驿站 // v. 上演,表演,乘驿车旅行
loaf |  n. 条, 块 // v. 游手好闲, 虚掷光阴
to |  prep. (表示方向)到,向；(表示间接关系)给；离,对于,为了 // adv. （表示方向）去,（门）关上
swing |  n. 摇摆,改变,冲力 // vt. &vi. 摇摆,旋转,动摇
familiar |  adj. 熟悉的,熟知的,不拘礼节的 // n. 熟人,熟悉某种事物的人
purpose |  n. 目的, 意图; 意志, 决心; 议题 // vt. 打算, 决意
claw |  n. 爪,钳,螯,爪状物 // vt. &vi. 抓,撕
visa |  n. 签证 // vt. 办理签证
way |  n. 方法,道路,方向,作风,(某)方面,程度,状态 // adv. 非常,很多,很远 // adj. 与路线的中间点相关的,路线的中间点
tongue |  n. 舌头,语言,口条,语言,说话方式 // vt. 舔,闲谈,斥责 // vi. 吹乐器
altogether |  adv. 总共，完全
fare |  n. 费用,食物 // v. 进展,进步,经营
mischief |  n. 损害, 伤害，灾祸, 恶作剧
nuclear |  adj. 原子核的,原子能的
liver |  n. 肝脏
tree |  n. 树
nod |  n. 点头, 打盹, 摆动 // v. 点头, 打盹, 使...摆动
letter |  n.信； 证书，许可证； 字母，文字； 字面意义 // vt.用字母标明； 写字母于； 加标题 // vi.写印刷体字母
surrender |  vt. &vi. 投降,让与,屈服 // n. 投降,屈服,放弃
preclude |  vt. 排除；妨碍；阻止
urgent |  adj. 急迫的,紧要的,紧急的
cluster |  n. 串,丛,群 // v. 聚合,成串,丛生,使...聚集
database |  n. 数据库
impatient |  adj. 不耐烦的, 急躁的
trade |  n. 贸易,商业,交易,行业,同行,手工艺,主顾,(复数)信风 // vi. 做生意,购物,交换 // vt. 用某物交换,做买卖 // adj. 商业的,专业性的,同行的
relay |  vt. 中继,用继电器控制,接替,传递 // n. 替班人,接力赛,继电器,传递
outrage |  n. 暴行,侮辱,愤怒 // v. 凌辱,虐待,触犯
week |  n. 星期, 周
joke |  n. 笑话,玩笑 // vt.& vi. 开玩笑
dream |  n. 梦, 理想 // vt. &vi. 做梦, 想象
sweat |  n. 汗, 流汗, (因冷凝作用形成在物体表面的)水珠, 艰巨的任务, 焦急状态 // vi. 出汗, 辛苦工作, 感到焦急 // vt. 使流汗, 拼命做出...
botany |  n. 植物学，植物
pregnant |  adj. 怀孕的，意味深长的,含蓄的，富于想象力的
whirl |  v. 使...旋转,急转，回旋，迅速移动 // n. 回旋, 旋转，繁忙，混乱，尝试
continual |  adj. 不断的, 频繁的
cucumber |  n. 黄瓜
heighten |  v. 增高,提高,加强
discharge |  vt. &vi. 放出,解雇,放电,解除, 清偿债务 // n. 释放，卸货，放电，一股，一阵，开火，发射，准许离开
collar |  n. 衣领,项圈 // vt. 抓住,为...戴上项圈
accept |  vi.承认； 同意； 承兑 // vt.接受； 承认； 承担； 承兑
rival |  n.对手； 竞争者 // vt.与…竞争； 比得上某人 // vi.竞争 // adj.竞争的
context |  n. 上下文, 环境,背景
delicate |  adj. 细致优雅的,微妙的,美味的 // adj. 淡色的,淡味的 // adj. 娇弱的,纤细的
behavior |  n. 行为,举止
color |  n. 颜色,气色,风格 // vt. 把...涂颜色,粉饰 // vi. 脸红
ring |  n. 环, 戒指, 铃声, 圈 // vt. 包围, 挂铃铛 // vi. 鸣响, 回响, 在空气中螺旋上扬, 形成圈
shabby |  adj. 破旧的(低劣的)
hard |  adj. 坚硬的;艰难的,苛刻的 // adv. 努力地,猛烈地,坚定地
coincide |  v. 与...一致,符合,暗合
hand |  n. 手,掌握,协助 // vt. 帮助,给 // adv. 手动地,人工地
affirm |  vt. 证实,断言,肯定 // vi. 断言,申明
dam |  n. 水坝 // vt. 筑坝,抑制(情感）等
bowling |  n. 保龄球
paint |  n. 油漆,颜料,绘画作品 // vt. &vi. 油漆,绘画
vein |  n. 静脉,纹路,岩脉,情绪,风格,气质 // vt. 饰以纹路
classroom |  n. 教室，课堂
nominate |  vt. 提名, 指派, 登记赛马参加比赛
bee |  n. 蜜蜂
detain |  vt. 扣留,拘押,耽搁
affluent |  adj. 富裕的 // n. 支流；富人
allow |  vi. (for)考虑到,使可能 // vt. 给予,承认,允许, 断定
distress |  n. 苦恼, 贫困, 忧郁, 恶化, 扣押财物 // vt. 使...苦恼, 仿造 // adj. 亏本出售的
repression |  n.抑制，压抑，制止
cop |  n. 管纱,警察 // vt. 采用,抓住
record |  n. 记录,纪录,唱片 // vt. 记录,(将声音等)录下，表明 // adj. 关于
persuade |  v. 说服 vt. 劝说,说服
outset |  n. 开始, 开端
editor |  n. 编辑, 编者
embrace |  n. 拥抱 // v. 拥抱,互相拥抱,包含
ratio |  n. 比,比率
entitle |  v. 取名为,给与名称,叫做,使有权利
magnet |  n. 磁体,磁铁,有强大吸引力的人或物
innovation |  n. 创新, 革新
dwell |  vi. 居住, 存在, 冥想, 详细阐述
alien |  n. 外侨;外星人 // adj. 外国的,相异的，陌生的 // vt. 转让
costume |  n. 服装,剧装 // vt. 提供服装, 为...设计服装 // adj. 服装打扮的
administer |  vt. 管理,执行,给与 // vi. 执行管理人职责,给与帮助
responsibility |  n. 责任, 可信度，责任心
daughter |  n. 女儿 // adj. 与女儿有关的, 女性直系后代的
inference |  n. 推理,推论
judgement |  n. 判断
slack |  n. 松弛的部分, 松散, 淡季, 中止 // adj. 松弛的, 不流畅的 // vt. 使缓慢, 疏忽 // vi. 变松弛, 逃避工作
invest |  vt.& vi.投资； 花费 // vt.授予，使就职； 给…穿衣，装饰； 使充满； 覆盖
exile |  n. 放逐,流放,被放逐者 // vt. 放逐,流放
apart |  adv. 分别地,分开地，有区别地 // adj. 分开的，分离的
cap |  n. 帽子,盖子,顶 // vt. 给戴帽,覆盖顶端,超过,形成化学键于,抑制 // vi. 形成化学键
southeast |  n. 东南, 东南地区 // adj. 东南的, 向东南的, 来自东南的 // adv. 往东南, 来自东南, 在东南
till |  conj. 直到(...为止) // n. (账台中)放钱的抽屉 // prep. 直到 // pron. 直到...为止,直到 // vt. 耕种
psychology |  n. 心理学
trend |  n. 趋势,倾向,方位 // vi. 倾向,转向
cough |  n. 咳嗽 // vt. &vi. 咳嗽
shift |  n. 交换,变化,移动,接班者 // vt. 更替,移转,变声 // vi. 改变,定责,更衣
cancel |  n. 取消,撤消 // vt. 取消,删去, 约分 // vi. 抵消
petty |  adj. 琐碎的,小规模的,小气的
promise |  n. 诺言, 约定, (有)希望，预示 // v. 允诺, 约定, 预示, 有可能
pen |  n. 钢笔 // v. 圈进
downtown |  n. 市中心区,市中心 // adj. 市中心的 // adv. 往闹区
harassment |  n. 困扰,烦扰,烦恼
brutal |  adj. 野蛮的,残暴的
rip |  n. 拉裂, 破绽, 激流, 浪荡子 // vt. 撕裂, 激昂地说, 贬损 // vi. 裂开, 仓促地冲过...
survival |  n. 生存,幸存者
gesture |  n. 手势,姿态 // vt.& vi. 作手势表达
shop |  n. 商店 // vi. 购物,寻找 // vt. 购物,逛商店
rotate |  vt. &vi. (使)旋转,轮流 // adj. 车轮状的
command |  n.命令，指挥； 司令部，指挥部； [计算机]指令； 控制力 // vt.指挥，控制，命令； 命令； 应得，值得 // vi.给出命令； 命令，指令 // adj.指挥的，根据命令（或要求）而作的
